angle (deg)	photocurrent	norm	cos2
1	4.56E-06	3.34E-02	0.036408073
2	5.41E-06	3.96E-02	0.043227271
3	6.35E-06	4.65E-02	0.050602977
4	7.40E-06	5.42E-02	0.058526204
5	8.56E-06	6.27E-02	0.066987298
6	9.77E-06	7.15E-02	0.075975952
7	1.10E-05	8.05E-02	0.085481214
8	1.23E-05	8.99E-02	0.095491503
9	1.37E-05	1.00E-01	0.105994623
10	1.52E-05	1.11E-01	0.116977778
11	1.67E-05	1.23E-01	0.128427587
12	1.84E-05	1.35E-01	0.1403301
13	2.00E-05	1.46E-01	0.152670815
14	2.17E-05	1.59E-01	0.165434697
15	2.36E-05	1.73E-01	0.178606195
16	2.54E-05	1.86E-01	0.192169262
17	2.71E-05	1.99E-01	0.206107374
18	2.90E-05	2.12E-01	0.220403548
19	3.09E-05	2.26E-01	0.235040368
20	3.32E-05	2.43E-01	0.25
21	3.53E-05	2.58E-01	0.265264219
22	3.73E-05	2.73E-01	0.280814427
23	3.94E-05	2.89E-01	0.296631678
24	4.16E-05	3.05E-01	0.312696703
25	4.39E-05	3.22E-01	0.328989928
26	4.63E-05	3.39E-01	0.345491503
27	4.85E-05	3.55E-01	0.362181322
28	5.08E-05	3.72E-01	0.379039052
29	5.32E-05	3.89E-01	0.396044155
30	5.56E-05	4.07E-01	0.413175911
31	5.80E-05	4.25E-01	0.43041345
32	6.04E-05	4.42E-01	0.447735768
33	6.27E-05	4.59E-01	0.465121763
34	6.51E-05	4.76E-01	0.482550252
35	6.76E-05	4.95E-01	0.5
36	7.00E-05	5.12E-01	0.517449748
37	7.23E-05	5.29E-01	0.534878237
38	7.46E-05	5.46E-01	0.552264232
39	7.70E-05	5.64E-01	0.56958655
40	7.94E-05	5.81E-01	0.586824089
41	8.18E-05	5.99E-01	0.603955845
42	8.41E-05	6.16E-01	0.620960948
43	8.64E-05	6.32E-01	0.637818678
44	8.86E-05	6.48E-01	0.654508497
45	9.09E-05	6.65E-01	0.671010072
46	9.31E-05	6.82E-01	0.687303297
47	9.53E-05	6.98E-01	0.703368322
48	9.74E-05	7.13E-01	0.719185573
49	9.96E-05	7.29E-01	0.734735781
50	0.000101993	7.47E-01	0.75
51	0.000104047	7.62E-01	0.764959632
52	0.000106	7.76E-01	0.779596452
53	0.000108033	7.91E-01	0.793892626
54	0.00010984	8.04E-01	0.807830738
55	0.000111703	8.18E-01	0.821393805
56	0.000113567	8.31E-01	0.834565303
57	0.000115243	8.44E-01	0.847329185
58	0.00011689	8.56E-01	0.8596699
59	0.000118487	8.67E-01	0.871572413
60	0.000120063	8.79E-01	0.883022222
61	0.000121563	8.90E-01	0.894005377
62	0.000123047	9.01E-01	0.904508497
63	0.00012445	9.11E-01	0.914518786
64	0.000125633	9.20E-01	0.924024048
65	0.000126863	9.29E-01	0.933012702
66	0.000127987	9.37E-01	0.941473796
67	0.000129063	9.45E-01	0.949397023
68	0.000130037	9.52E-01	0.956772729
69	0.00013089	9.58E-01	0.963591927
70	0.000131747	9.64E-01	0.96984631
71	0.000132577	9.70E-01	0.975528258
72	0.000133257	9.75E-01	0.980630848
73	0.000133887	9.80E-01	0.985147863
74	0.000134397	9.84E-01	0.9890738
75	0.00013479	9.87E-01	0.992403877
76	0.000135213	9.90E-01	0.995134034
77	0.000135497	9.92E-01	0.997260948
78	0.000135657	9.93E-01	0.998782025
79	0.000135787	9.94E-01	0.999695414
80	0.000135793	9.94E-01	1
81	0.000135753	9.94E-01	0.999695414
82	0.00013563	9.93E-01	0.998782025
83	0.00013537	9.91E-01	0.997260948
84	0.000135083	9.89E-01	0.995134034
85	0.000134793	9.87E-01	0.992403877
86	0.000134297	9.83E-01	0.9890738
87	0.000133727	9.79E-01	0.985147863
88	0.000133093	9.74E-01	0.980630848
89	0.00013243	9.69E-01	0.975528258
90	0.000131633	9.64E-01	0.96984631
91	0.000130763	9.57E-01	0.963591927
92	0.000129797	9.50E-01	0.956772729
93	0.000128917	9.44E-01	0.949397023
94	0.000127823	9.36E-01	0.941473796
95	0.00012668	9.27E-01	0.933012702
96	0.00012552	9.19E-01	0.924024048
97	0.000124143	9.09E-01	0.914518786
98	0.000122837	8.99E-01	0.904508497
99	0.00012146	8.89E-01	0.894005377
100	0.000120027	8.79E-01	0.883022222
101	0.000118467	8.67E-01	0.871572413
102	0.000116753	8.55E-01	0.8596699
103	0.000115027	8.42E-01	0.847329185
104	0.00011328	8.29E-01	0.834565303
105	0.000111473	8.16E-01	0.821393805
106	0.000109627	8.02E-01	0.807830738
107	0.000107613	7.88E-01	0.793892626
108	0.000105667	7.74E-01	0.779596452
109	0.000103663	7.59E-01	0.764959632
110	0.000101707	7.45E-01	0.75
111	9.97E-05	7.30E-01	0.734735781
112	9.74E-05	7.13E-01	0.719185573
113	9.53E-05	6.98E-01	0.703368322
114	9.32E-05	6.82E-01	0.687303297
115	9.11E-05	6.67E-01	0.671010072
116	8.89E-05	6.51E-01	0.654508497
117	8.65E-05	6.33E-01	0.637818678
118	8.42E-05	6.16E-01	0.620960948
119	8.19E-05	6.00E-01	0.603955845
120	7.96E-05	5.83E-01	0.586824089
121	7.73E-05	5.66E-01	0.56958655
122	7.49E-05	5.48E-01	0.552264232
123	7.24E-05	5.30E-01	0.534878237
124	7.01E-05	5.13E-01	0.517449748
125	6.78E-05	4.96E-01	0.5
126	6.55E-05	4.79E-01	0.482550252
127	6.31E-05	4.62E-01	0.465121763
128	6.06E-05	4.44E-01	0.447735768
129	5.83E-05	4.27E-01	0.43041345
130	5.60E-05	4.10E-01	0.413175911
131	5.37E-05	3.93E-01	0.396044155
132	5.14E-05	3.76E-01	0.379039052
133	4.91E-05	3.60E-01	0.362181322
134	4.68E-05	3.43E-01	0.345491503
135	4.47E-05	3.27E-01	0.328989928
136	4.25E-05	3.11E-01	0.312696703
137	4.04E-05	2.96E-01	0.296631678
138	3.82E-05	2.79E-01	0.280814427
139	3.61E-05	2.64E-01	0.265264219
140	3.40E-05	2.49E-01	0.25
141	3.21E-05	2.35E-01	0.235040368
142	3.00E-05	2.20E-01	0.220403548
143	2.80E-05	2.05E-01	0.206107374
144	2.61E-05	1.91E-01	0.192169262
145	2.43E-05	1.78E-01	0.178606195
146	2.26E-05	1.65E-01	0.165434697
147	2.09E-05	1.53E-01	0.152670815
148	1.91E-05	1.40E-01	0.1403301
149	1.75E-05	1.28E-01	0.128427587
150	1.60E-05	1.17E-01	0.116977778
151	1.46E-05	1.07E-01	0.105994623
152	1.32E-05	9.63E-02	0.095491503
153	1.18E-05	8.61E-02	0.085481214
154	1.04E-05	7.64E-02	0.075975952
155	9.25E-06	6.77E-02	0.066987298
156	8.14E-06	5.96E-02	0.058526204
157	7.07E-06	5.18E-02	0.050602977
158	6.04E-06	4.42E-02	0.043227271
159	5.09E-06	3.73E-02	0.036408073
160	4.26E-06	3.12E-02	0.03015369
161	3.51E-06	2.57E-02	0.024471742
162	2.83E-06	2.07E-02	0.019369152
163	2.21E-06	1.62E-02	0.014852137
164	1.60E-06	1.17E-02	0.0109262
165	1.15E-06	8.45E-03	0.007596123
166	7.89E-07	5.77E-03	0.004865966
167	5.01E-07	3.67E-03	0.002739052
168	2.90E-07	2.12E-03	0.001217975
169	1.59E-07	1.17E-03	0.000304586
170	1.22E-07	8.93E-04	0
171	1.60E-07	1.17E-03	0.000304586
172	2.75E-07	2.01E-03	0.001217975
173	4.78E-07	3.50E-03	0.002739052
174	7.72E-07	5.65E-03	0.004865966
175	1.14E-06	8.32E-03	0.007596123
176	1.56E-06	1.15E-02	0.0109262
177	2.07E-06	1.52E-02	0.014852137
178	2.66E-06	1.95E-02	0.019369152
179	3.37E-06	2.47E-02	0.024471742
180	4.15E-06	3.04E-02	0.03015369
181	4.97E-06	3.64E-02	0.036408073
182	5.87E-06	4.29E-02	0.043227271
183	6.86E-06	5.02E-02	0.050602977
184	7.97E-06	5.83E-02	0.058526204
185	9.15E-06	6.70E-02	0.066987298
186	1.03E-05	7.55E-02	0.075975952
187	1.16E-05	8.48E-02	0.085481214
188	1.29E-05	9.46E-02	0.095491503
189	1.43E-05	1.05E-01	0.105994623
190	1.58E-05	1.16E-01	0.116977778
191	1.73E-05	1.27E-01	0.128427587
192	1.88E-05	1.38E-01	0.1403301
193	2.05E-05	1.50E-01	0.152670815
194	2.22E-05	1.63E-01	0.165434697
195	2.41E-05	1.76E-01	0.178606195
196	2.58E-05	1.89E-01	0.192169262
197	2.77E-05	2.02E-01	0.206107374
198	2.95E-05	2.16E-01	0.220403548
199	3.15E-05	2.30E-01	0.235040368
200	3.36E-05	2.46E-01	0.25
201	3.57E-05	2.61E-01	0.265264219
202	3.77E-05	2.76E-01	0.280814427
203	3.99E-05	2.92E-01	0.296631678
204	4.21E-05	3.08E-01	0.312696703
205	4.44E-05	3.25E-01	0.328989928
206	4.66E-05	3.41E-01	0.345491503
207	4.88E-05	3.57E-01	0.362181322
208	5.10E-05	3.74E-01	0.379039052
209	5.34E-05	3.91E-01	0.396044155
210	5.58E-05	4.08E-01	0.413175911
211	5.81E-05	4.26E-01	0.43041345
212	6.04E-05	4.42E-01	0.447735768
213	6.27E-05	4.59E-01	0.465121763
214	6.50E-05	4.76E-01	0.482550252
215	6.75E-05	4.94E-01	0.5
216	6.99E-05	5.12E-01	0.517449748
217	7.22E-05	5.28E-01	0.534878237
218	7.45E-05	5.45E-01	0.552264232
219	7.69E-05	5.63E-01	0.56958655
220	7.93E-05	5.81E-01	0.586824089
221	8.16E-05	5.97E-01	0.603955845
222	8.38E-05	6.13E-01	0.620960948
223	8.60E-05	6.30E-01	0.637818678
224	8.83E-05	6.46E-01	0.654508497
225	9.07E-05	6.64E-01	0.671010072
226	9.28E-05	6.79E-01	0.687303297
227	9.48E-05	6.94E-01	0.703368322
228	9.70E-05	7.10E-01	0.719185573
229	9.91E-05	7.25E-01	0.734735781
230	0.00010102	7.39E-01	0.75
231	0.00010321	7.56E-01	0.764959632
232	0.00010529	7.71E-01	0.779596452
233	0.000107127	7.84E-01	0.793892626
234	0.000108887	7.97E-01	0.807830738
235	0.0001108	8.11E-01	0.821393805
236	0.000112877	8.26E-01	0.834565303
237	0.000114587	8.39E-01	0.847329185
238	0.000116177	8.50E-01	0.8596699
239	0.000117717	8.62E-01	0.871572413
240	0.000119447	8.74E-01	0.883022222
241	0.000121217	8.87E-01	0.894005377
242	0.000122527	8.97E-01	0.904508497
243	0.000124097	9.08E-01	0.914518786
244	0.000125647	9.20E-01	0.924024048
245	0.000126987	9.30E-01	0.933012702
246	0.00012819	9.38E-01	0.941473796
247	0.000129317	9.47E-01	0.949397023
248	0.000130303	9.54E-01	0.956772729
249	0.0001312	9.60E-01	0.963591927
250	0.000132117	9.67E-01	0.96984631
251	0.000132967	9.73E-01	0.975528258
252	0.00013375	9.79E-01	0.980630848
253	0.00013434	9.83E-01	0.985147863
254	0.00013495	9.88E-01	0.9890738
255	0.000135393	9.91E-01	0.992403877
256	0.000135813	9.94E-01	0.995134034
257	0.000136127	9.96E-01	0.997260948
258	0.00013638	9.98E-01	0.998782025
259	0.00013653	9.99E-01	0.999695414
260	0.000136607	1.00E+00	1
261	0.000136583	1.00E+00	0.999695414
262	0.000136517	9.99E-01	0.998782025
263	0.0001364	9.98E-01	0.997260948
264	0.00013613	9.97E-01	0.995134034
265	0.000135807	9.94E-01	0.992403877
266	0.00013536	9.91E-01	0.9890738
267	0.00013487	9.87E-01	0.985147863
268	0.000134273	9.83E-01	0.980630848
