Home offset is 0
angle (deg)	photocurrent
0.1	3.34583333333333E-06
0.2	3.41193333333333E-06
0.3	3.45696666666667E-06
0.4	3.56163333333333E-06
0.5	3.6294E-06
0.6	3.70256666666667E-06
0.7	3.73066666666667E-06
0.8	3.855E-06
0.9	3.90883333333333E-06
1	3.98303333333333E-06
1.1	3.99386666666667E-06
1.2	4.11513333333333E-06
1.3	4.19883333333333E-06
1.4	4.2764E-06
1.5	4.33466666666667E-06
1.6	4.376E-06
1.7	4.51053333333333E-06
1.8	4.58873333333333E-06
1.9	4.66596666666667E-06
2	4.66666666666667E-06
2.1	4.80553333333333E-06
2.2	4.89736666666667E-06
2.3	4.97186666666667E-06
2.4	5.05456666666667E-06
2.5	5.0806E-06
2.6	5.23103333333333E-06
2.7	5.30963333333333E-06
2.8	5.38853333333333E-06
2.9	5.4299E-06
3	5.499E-06
3.1	5.65483333333333E-06
3.2	5.73303333333333E-06
3.3	5.82963333333333E-06
3.4	5.83433333333333E-06
3.5	5.99933333333333E-06
3.6	6.10906666666667E-06
3.7	6.1921E-06
3.8	6.2873E-06
3.9	6.29913333333333E-06
4	6.4746E-06
4.1	6.58196666666667E-06
4.2	6.66666666666667E-06
4.3	6.75983333333333E-06
4.4	6.77713333333333E-06
4.5	6.96443333333333E-06
4.6	7.06976666666667E-06
4.7	7.17546666666667E-06
4.8	7.2805E-06
4.9	7.30286666666667E-06
5	7.4936E-06
5.1	7.6047E-06
5.2	7.70833333333333E-06
5.3	7.81063333333333E-06
5.4	7.80453333333333E-06
5.5	7.98883333333333E-06
5.6	8.14093333333333E-06
5.7	8.23846666666667E-06
5.8	8.33606666666667E-06
5.9	8.37063333333333E-06
5.99999999999999	8.47226666666667E-06
6.09999999999999	8.68193333333333E-06
6.19999999999999	8.77883333333333E-06
6.29999999999999	8.89603333333333E-06
6.39999999999999	8.97733333333333E-06
6.49999999999999	9.01086666666667E-06
6.59999999999999	9.23853333333333E-06
6.69999999999999	9.3598E-06
6.79999999999999	9.46786666666667E-06
6.89999999999999	9.5993E-06
6.99999999999999	9.5854E-06
7.09999999999999	9.78593333333333E-06
7.19999999999999	9.97396666666667E-06
7.29999999999999	1.00763333333333E-05
7.39999999999999	1.02063333333333E-05
7.49999999999999	1.02913333333333E-05
7.59999999999999	1.03373333333333E-05
7.69999999999999	1.05903333333333E-05
7.79999999999999	1.07156666666667E-05
7.89999999999999	1.08186666666667E-05
7.99999999999999	1.09533333333333E-05
8.09999999999999	1.09633333333333E-05
8.19999999999999	1.10656666666667E-05
8.29999999999999	1.1331E-05
8.39999999999999	1.14496666666667E-05
8.49999999999999	1.15536666666667E-05
8.59999999999999	1.16926666666667E-05
8.69999999999999	1.17003333333333E-05
8.79999999999998	1.1819E-05
8.89999999999998	1.21076666666667E-05
8.99999999999998	1.22156666666667E-05
9.09999999999998	1.23226666666667E-05
9.19999999999998	1.24783333333333E-05
9.29999999999998	1.2504E-05
9.39999999999998	1.26036666666667E-05
9.49999999999998	1.29206666666667E-05
9.59999999999998	1.30656666666667E-05
9.69999999999998	1.32063333333333E-05
9.79999999999998	1.33763333333333E-05
9.89999999999998	1.342E-05
9.99999999999998	1.348E-05
10.1	1.37793333333333E-05
10.2	1.39326666666667E-05
10.3	1.40646666666667E-05
10.4	1.4215E-05
10.5	1.42913333333333E-05
10.6	1.43253333333333E-05
10.7	1.4598E-05
10.8	1.4782E-05
10.9	1.48926666666667E-05
11	1.50303333333333E-05
11.1	1.5171E-05
11.2	1.5134E-05
11.3	1.53216666666667E-05
11.4	1.56303333333333E-05
11.5	1.57556666666667E-05
11.6	1.58956666666667E-05
11.7	1.6055E-05
11.8	1.60896666666667E-05
11.9	1.61366666666667E-05
12	1.64643333333333E-05
12.1	1.66366666666667E-05
12.2	1.67403333333333E-05
12.3	1.6874E-05
12.4	1.7007E-05
12.5	1.69543333333333E-05
12.6	1.70773333333333E-05
12.7	1.74326666666667E-05
12.8	1.75756666666667E-05
12.9	1.76826666666667E-05
13	1.7827E-05
13.1	1.79703333333333E-05
13.2	1.7932E-05
13.3	1.80506666666667E-05
13.4	1.8457E-05
13.5	1.86193333333333E-05
13.6	1.87533333333333E-05
13.7	1.892E-05
13.8	1.90913333333333E-05
13.9	1.90703333333333E-05
14	1.91623333333333E-05
14.1	1.95443333333333E-05
14.2	1.9761E-05
14.3	1.9889E-05
14.4	2.00516666666667E-05
14.5	2.02406666666667E-05
14.6	2.0247E-05
14.7	2.03106666666667E-05
14.8	2.06783333333333E-05
14.9	2.09133333333333E-05
15	2.10473333333333E-05
15.1	2.1231E-05
15.2	2.1405E-05
15.3	2.14976666666667E-05
15.4	2.14313333333333E-05
15.5	2.16993333333333E-05
15.6	2.20906666666667E-05
15.7	2.225E-05
15.8	2.23973333333333E-05
15.9	2.25803333333333E-05
16	2.275E-05
16.1	2.27453333333333E-05
16.2	2.2825E-05
16.3	2.31936666666667E-05
16.4	2.34506666666667E-05
16.5	2.35683333333333E-05
16.6	2.37246666666667E-05
16.7	2.38923333333333E-05
16.8	2.3991E-05
16.9	2.38883333333333E-05
17	2.4122E-05
17.1	2.45633333333333E-05
17.2	2.4755E-05
17.3	2.48816666666667E-05
17.4	2.50416666666667E-05
17.5	2.5235E-05
17.6	2.53036666666667E-05
17.7	2.52333333333333E-05
17.8	2.55373333333333E-05
17.9	2.5972E-05
18	2.61616666666667E-05
18.1	2.6297E-05
18.2	2.65023333333333E-05
18.3	2.6709E-05
18.4	2.68176666666667E-05
18.5	2.67073333333333E-05
18.6	2.69343333333333E-05
18.7	2.74116666666667E-05
18.8	2.7654E-05
18.9	2.78286666666667E-05
19	2.80073333333333E-05
19.1	2.8214E-05
19.2	2.84246666666667E-05
19.3	2.84366666666667E-05
19.4	2.8481E-05
19.5	2.8809E-05
19.6	2.92583333333333E-05
19.7	2.9474E-05
19.8	2.96296666666667E-05
19.9	2.98236666666667E-05
20	3.00623333333333E-05
20.1	3.02433333333333E-05
20.2	3.01836666666667E-05
20.3	3.0363E-05
20.4	3.07516666666667E-05
20.5	3.11666666666667E-05
20.6	3.13636666666667E-05
20.7	3.1554E-05
20.8	3.17496666666667E-05
20.9	3.1973E-05
21	3.21033333333333E-05
21.1	3.19843333333333E-05
21.2	3.21836666666667E-05
21.3	3.26773333333333E-05
21.4	3.30756666666667E-05
21.5	3.32453333333333E-05
21.6	3.34313333333333E-05
21.7	3.36043333333333E-05
21.8	3.38343333333333E-05
21.9	3.39193333333333E-05
22	3.376E-05
22.1	3.39733333333333E-05
22.2	3.44406666666667E-05
22.3	3.4827E-05
22.4	3.499E-05
22.5000000000001	3.5152E-05
22.6000000000001	3.5345E-05
22.7000000000001	3.55823333333333E-05
22.8000000000001	3.57386666666667E-05
22.9000000000001	3.5691E-05
23.0000000000001	3.57586666666667E-05
23.1000000000001	3.6033E-05
23.2000000000001	3.65346666666667E-05
23.3000000000001	3.6788E-05
23.4000000000001	3.69343333333333E-05
23.5000000000001	3.71306666666667E-05
23.6000000000001	3.73103333333333E-05
23.7000000000001	3.7544E-05
23.8000000000001	3.76693333333333E-05
23.9000000000001	3.74693333333333E-05
24.0000000000001	3.77336666666667E-05
24.1000000000001	3.813E-05
24.2000000000001	3.85433333333333E-05
24.3000000000001	3.87466666666667E-05
24.4000000000001	3.8902E-05
24.5000000000001	3.90883333333333E-05
24.6000000000001	3.93086666666667E-05
24.7000000000001	3.9512E-05
24.8000000000001	3.95763333333333E-05
24.9000000000001	3.94173333333333E-05
25.0000000000001	3.9668E-05
25.1000000000001	4.02303333333333E-05
25.2000000000001	4.06533333333333E-05
25.3000000000001	4.0857E-05
25.4000000000001	4.10536666666667E-05
25.5000000000001	4.12766666666667E-05
25.6000000000001	4.15173333333333E-05
25.7000000000001	4.1704E-05
25.8000000000001	4.1731E-05
25.9000000000001	4.1575E-05
26.0000000000001	4.18256666666667E-05
26.1000000000001	4.2432E-05
26.2000000000001	4.2835E-05
26.3000000000001	4.30623333333333E-05
26.4000000000001	4.32246666666667E-05
26.5000000000001	4.34416666666667E-05
26.6000000000001	4.36616666666667E-05
26.7000000000001	4.38953333333333E-05
26.8000000000001	4.40173333333333E-05
26.9000000000001	4.3821E-05
27.0000000000001	4.40583333333333E-05
