Home offset is 0
theta0 (Initial angle from Home) is (deg) 0
angle from Home(deg)	angle from theta0(deg)	photocurrent
0	0	3.24623333333333E-07
0.1	0.1	3.23746666666667E-07
0.2	0.2	3.24153333333333E-07
0.3	0.3	3.2581E-07
0.4	0.4	3.28593333333333E-07
0.5	0.5	3.32076666666667E-07
0.6	0.6	3.37566666666667E-07
0.7	0.7	3.4451E-07
0.8	0.8	3.52063333333333E-07
0.9	0.9	3.60396666666667E-07
1.0	1.0	3.70663333333333E-07
1.1	1.1	3.80956666666667E-07
1.2	1.2	3.92713333333333E-07
1.3	1.3	4.07176666666667E-07
1.4	1.4	4.2175E-07
1.5	1.5	4.35803333333333E-07
1.6	1.6	4.53016666666667E-07
1.7	1.7	4.7165E-07
1.8	1.8	4.89396666666667E-07
1.9	1.9	5.08433333333333E-07
2.0	2.0	5.2781E-07
2.1	2.1	5.46816666666667E-07
2.2	2.2	5.65073333333333E-07
2.3	2.3	5.86346666666667E-07
2.4	2.4	6.10836666666667E-07
2.5	2.5	6.3408E-07
2.6	2.6	6.58503333333333E-07
2.7	2.7	6.85806666666667E-07
2.8	2.8	7.13653333333333E-07
2.9	2.9	7.45123333333333E-07
3.0	3.0	7.78083333333333E-07
3.1	3.1	8.1098E-07
3.2	3.2	8.41736666666667E-07
3.3	3.3	8.74326666666667E-07
3.4	3.4	9.10236666666667E-07
3.5	3.5	9.46923333333333E-07
3.6	3.6	9.81576666666667E-07
3.7	3.7	1.0232E-06
3.8	3.8	1.06386666666667E-06
3.9	3.9	1.1063E-06
4.0	4.0	1.14766666666667E-06
4.1	4.1	1.1843E-06
4.2	4.2	1.23186666666667E-06
4.3	4.3	1.28356666666667E-06
4.4	4.4	1.32866666666667E-06
4.5	4.5	1.37576666666667E-06
4.6	4.6	1.42966666666667E-06
4.7	4.7	1.47896666666667E-06
4.8	4.8	1.52926666666667E-06
4.9	4.9	1.58366666666667E-06
5.0	5.0	1.63226666666667E-06
5.1	5.1	1.6863E-06
5.2	5.2	1.7385E-06
5.3	5.3	1.79516666666667E-06
5.4	5.4	1.8509E-06
5.5	5.5	1.9066E-06
5.6	5.6	1.95613333333333E-06
5.7	5.7	2.01433333333333E-06
5.8	5.8	2.06896666666667E-06
5.9	5.9	2.131E-06
6.0	6.0	2.1934E-06
6.1	6.1	2.26003333333333E-06
6.2	6.2	2.31346666666667E-06
6.3	6.3	2.37093333333333E-06
6.4	6.4	2.4354E-06
6.5	6.5	2.5003E-06
6.6	6.6	2.56256666666667E-06
6.7	6.7	2.63203333333333E-06
6.8	6.8	2.6923E-06
6.9	6.9	2.75926666666667E-06
7.0	7.0	2.8291E-06
7.1	7.1	2.9039E-06
7.2	7.2	2.97946666666667E-06
7.3	7.3	3.05666666666667E-06
7.4	7.4	3.1218E-06
7.5	7.5	3.19416666666667E-06
7.6	7.6	3.26273333333333E-06
7.7	7.7	4.0142E-06
7.8	7.8	4.10466666666667E-06
7.9	7.9	4.20053333333333E-06
8.0	8.0	4.2896E-06
8.1	8.1	4.39196666666667E-06
8.2	8.2	4.48746666666667E-06
8.3	8.3	4.58606666666667E-06
8.4	8.4	4.69176666666667E-06
8.5	8.5	4.7703E-06
8.6	8.6	4.8801E-06
8.7	8.7	4.97866666666667E-06
8.8	8.8	5.08606666666667E-06
8.9	8.9	5.18866666666667E-06
9.0	9.0	5.30723333333333E-06
9.1	9.1	5.42003333333333E-06
9.2	9.2	5.5366E-06
9.3	9.3	5.64093333333333E-06
9.4	9.4	5.7622E-06
9.5	9.5	5.86823333333333E-06
9.6	9.6	5.9858E-06
9.7	9.7	6.09316666666667E-06
9.8	9.8	6.2043E-06
9.9	9.9	6.3137E-06
10.0	10.0	6.42446666666667E-06
10.1	10.1	6.5376E-06
10.2	10.2	6.6504E-06
10.3	10.3	6.76963333333333E-06
10.4	10.4	6.8913E-06
10.5	10.5	7.00133333333333E-06
10.6	10.6	7.11453333333333E-06
10.7	10.7	7.23746666666667E-06
10.8	10.8	7.35603333333333E-06
10.9	10.9	7.47023333333333E-06
11.0	11.0	7.57863333333333E-06
11.1	11.1	7.69276666666667E-06
11.2	11.2	7.81506666666667E-06
11.3	11.3	7.93226666666667E-06
11.4	11.4	8.0478E-06
11.5	11.5	8.1596E-06
11.6	11.6	8.29036666666667E-06
11.7	11.7	8.40993333333333E-06
11.8	11.8	8.53223333333333E-06
11.9	11.9	8.65793333333333E-06
12.0	12.0	8.78116666666667E-06
12.1	12.1	8.9018E-06
12.2	12.2	9.02273333333333E-06
12.3	12.3	9.15216666666667E-06
12.4	12.4	9.25143333333333E-06
12.5	12.5	9.3781E-06
12.6	12.6	9.50543333333333E-06
12.7	12.7	9.63586666666667E-06
12.8	12.8	9.768E-06
12.9	12.9	9.89506666666667E-06
13.0	13.0	1.00296666666667E-05
13.1	13.1	1.0154E-05
13.2	13.2	1.02516666666667E-05
13.3	13.3	1.03563333333333E-05
13.4	13.4	1.0491E-05
13.5	13.5	1.0635E-05
13.6	13.6	1.07803333333333E-05
13.7	13.7	1.09226666666667E-05
13.8	13.8	1.10763333333333E-05
13.9	13.9	1.1198E-05
14.0	14.0	1.1343E-05
14.1	14.1	1.14803333333333E-05
14.2	14.2	1.16166666666667E-05
14.3	14.3	1.1763E-05
14.4	14.4	1.19213333333333E-05
14.5	14.5	1.20843333333333E-05
14.6	14.6	1.22503333333333E-05
14.7	14.7	1.23853333333333E-05
14.8	14.8	1.25336666666667E-05
14.9	14.9	1.26593333333333E-05
15.0	15.0	1.28183333333333E-05
15.1	15.1	1.29586666666667E-05
15.2	15.2	1.31013333333333E-05
15.3	15.3	1.32563333333333E-05
15.4	15.4	1.3365E-05
15.5	15.5	1.35053333333333E-05
15.6	15.6	1.3645E-05
15.7	15.7	1.37953333333333E-05
15.8	15.8	1.39333333333333E-05
15.9	15.9	1.40836666666667E-05
16.0	16.0	1.42266666666667E-05
16.1	16.1	1.43873333333333E-05
16.2	16.2	1.45343333333333E-05
16.3	16.3	1.46743333333333E-05
16.4	16.4	1.4819E-05
16.5	16.5	1.49793333333333E-05
16.6	16.6	1.51246666666667E-05
16.7	16.7	1.52736666666667E-05
16.8	16.8	1.5406E-05
16.9	16.9	1.5555E-05
17.0	17.0	1.57173333333333E-05
17.1	17.1	1.5865E-05
17.2	17.2	1.60333333333333E-05
17.3	17.3	1.62113333333333E-05
17.4	17.4	1.63703333333333E-05
17.5	17.5	1.65416666666667E-05
17.6	17.6	1.67056666666667E-05
17.7	17.7	1.6866E-05
17.8	17.8	1.70426666666667E-05
17.9	17.9	1.7211E-05
18.0	18.0	1.73756666666667E-05
18.1	18.1	1.7544E-05
18.2	18.2	1.77243333333333E-05
18.3	18.3	1.79006666666667E-05
18.4	18.4	1.8085E-05
18.5	18.5	1.8261E-05
18.6	18.6	1.8444E-05
18.7	18.7	1.86486666666667E-05
18.8	18.8	1.88133333333333E-05
18.9	18.9	1.8998E-05
19.0	19.0	1.91633333333333E-05
19.1	19.1	1.93703333333333E-05
19.2	19.2	1.95626666666667E-05
19.3	19.3	1.97476666666667E-05
19.4	19.4	1.99543333333333E-05
19.5	19.5	2.0163E-05
19.6	19.6	2.037E-05
19.7	19.7	2.0578E-05
19.8	19.8	2.07736666666667E-05
19.9	19.9	2.09983333333333E-05
20.0	20.0	2.11926666666667E-05
20.1	20.1	2.14136666666667E-05
20.2	20.2	2.1616E-05
20.3	20.3	2.18096666666667E-05
20.4	20.4	2.1993E-05
20.5	20.5	2.2206E-05
20.6	20.6	2.24026666666667E-05
20.7	20.7	2.25963333333333E-05
20.8	20.8	2.27946666666667E-05
20.9	20.9	2.2999E-05
21.0	21.0	2.32093333333333E-05
21.1	21.1	2.34086666666667E-05
21.2	21.2	2.3603E-05
21.3	21.3	2.37883333333333E-05
21.4	21.4	2.399E-05
21.5	21.5	2.4175E-05
21.6	21.6	2.43753333333333E-05
21.7	21.7	2.45776666666667E-05
21.8	21.8	2.47756666666667E-05
21.9	21.9	2.49696666666667E-05
22.0	22.0	2.51216666666667E-05
22.1	22.1	2.5327E-05
22.2	22.2	2.55493333333333E-05
22.3	22.3	2.57466666666667E-05
22.4	22.4	2.59553333333333E-05
22.5	22.5	2.6142E-05
22.6	22.6	2.63236666666667E-05
22.7	22.7	2.65406666666667E-05
22.8	22.8	2.67486666666667E-05
22.9	22.9	2.69616666666667E-05
23.0	23.0	2.71653333333333E-05
23.1	23.1	2.73733333333333E-05
23.2	23.2	2.759E-05
23.3	23.3	2.7805E-05
23.4	23.4	2.8041E-05
23.5	23.5	2.82556666666667E-05
23.6	23.6	2.84503333333333E-05
23.7	23.7	2.869E-05
23.8	23.8	2.8909E-05
23.9	23.9	2.9123E-05
24.0	24.0	2.93226666666667E-05
24.1	24.1	2.95663333333333E-05
24.2	24.2	2.982E-05
24.3	24.3	3.00553333333333E-05
24.4	24.4	3.02706666666667E-05
24.5	24.5	3.05243333333333E-05
24.6	24.6	3.07606666666667E-05
24.7	24.7	3.0997E-05
24.8	24.8	3.12126666666667E-05
24.9	24.9	3.1474E-05
25.0	25.0	3.17283333333333E-05
25.1	25.1	3.19583333333333E-05
25.2	25.2	3.21906666666667E-05
25.3	25.3	3.2416E-05
25.4	25.4	3.26496666666667E-05
25.5	25.5	3.95286666666667E-05
25.6	25.6	3.97933333333333E-05
25.7	25.7	4.00336666666667E-05
25.8	25.8	4.03116666666667E-05
25.9	25.9	4.06063333333333E-05
26.0	26.0	4.08536666666667E-05
26.1	26.1	4.11413333333333E-05
26.2	26.2	4.14093333333333E-05
26.3	26.3	4.16666666666667E-05
26.4	26.4	4.19376666666667E-05
26.5	26.5	4.21883333333333E-05
26.6	26.6	4.2439E-05
26.7	26.7	4.2713E-05
26.8	26.8	4.29673333333333E-05
26.9	26.9	4.32586666666667E-05
27.0	27.0	4.35296666666667E-05
27.1	27.1	4.3831E-05
27.2	27.2	4.41226666666667E-05
27.3	27.3	4.441E-05
27.4	27.4	4.46983333333333E-05
27.5	27.5	4.49356666666667E-05
27.6	27.6	4.5183E-05
27.7	27.7	4.5518E-05
27.8	27.8	4.57823333333333E-05
27.9	27.9	4.60703333333333E-05
28.0	28.0	4.63686666666667E-05
28.1	28.1	4.66633333333333E-05
28.2	28.2	4.69543333333333E-05
28.3	28.3	4.7256E-05
28.4	28.4	4.75233333333333E-05
28.5	28.5	4.78183333333333E-05
28.6	28.6	4.81066666666667E-05
28.7	28.7	4.84113333333333E-05
28.8	28.8	4.87123333333333E-05
28.9	28.9	4.90346666666667E-05
29.0	29.0	4.9309E-05
29.1	29.1	4.9583E-05
29.2	29.2	4.9888E-05
29.3	29.3	5.0163E-05
29.4	29.4	5.05146666666667E-05
29.5	29.5	5.084E-05
29.6	29.6	5.11823333333333E-05
29.7	29.7	5.15313333333333E-05
29.8	29.8	5.1829E-05
29.9	29.9	5.21473333333333E-05
30.0	30.0	5.24423333333333E-05
30.1	30.1	5.27883333333333E-05
30.2	30.2	5.311E-05
