Home offset is 0
theta0 (Initial angle from Home) is (deg) 35.494
angle from Home(deg)	angle from theta0(deg)	photocurrent
0	35.494	5.43766666666667E-08
0.1	35.594	5.4336E-08
0.2	35.694	5.43563333333333E-08
0.3	35.794	5.45426666666667E-08
0.4	35.894	5.40853333333333E-08
0.5	35.994	5.43936666666667E-08
0.6	36.094	5.47626666666667E-08
0.7	36.194	5.51286666666667E-08
0.8	36.294	5.541E-08
0.9	36.394	5.5569E-08
1.0	36.494	5.5596E-08
1.1	36.594	5.5569E-08
1.2	36.694	5.57486666666667E-08
1.3	36.794	5.583E-08
1.4	36.894	5.55823333333333E-08
1.5	36.994	5.54033333333333E-08
1.6	37.094	5.5671E-08
1.7	37.194	5.62026666666667E-08
1.8	37.294	5.65853333333333E-08
1.9	37.394	5.66733333333333E-08
2.0	37.494	5.6802E-08
2.1	37.594	5.6914E-08
2.2	37.694	5.71036666666667E-08
2.3	37.794	5.73306666666667E-08
2.4	37.894	5.73576666666667E-08
2.5	37.994	5.7388E-08
2.6	38.094	5.708E-08
2.7	38.194	5.73546666666667E-08
2.8	38.294	5.76286666666667E-08
2.9	38.394	5.8164E-08
3.0	38.494	5.81743333333333E-08
3.1	38.594	5.82553333333333E-08
3.2	38.694	5.83706666666667E-08
3.3	38.794	5.8557E-08
3.4	38.894	5.8767E-08
3.5	38.994	5.88653333333333E-08
3.6	39.094	5.9099E-08
3.7	39.194	5.88956666666667E-08
3.8	39.294	5.8872E-08
3.9	39.394	5.91936666666667E-08
4.0	39.494	5.9719E-08
4.1	39.594	5.99966666666667E-08
4.2	39.694	6.02133333333333E-08
4.3	39.794	6.03693333333333E-08
4.4	39.894	6.0359E-08
4.5	39.994	6.06403333333333E-08
4.6	40.094	6.0864E-08
4.7	40.194	6.1169E-08
4.8	40.294	6.11043333333333E-08
4.9	40.394	6.09993333333333E-08
5.0	40.494	6.08436666666667E-08
5.1	40.594	6.10773333333333E-08
5.2	40.694	6.1423E-08
5.3	40.794	6.20256666666667E-08
5.4	40.894	6.2246E-08
5.5	40.994	6.25133333333333E-08
5.6	41.094	6.27846666666667E-08
5.7	41.194	6.28556666666667E-08
5.8	41.294	6.3076E-08
5.9	41.394	6.31876666666667E-08
6.0	41.494	6.4075E-08
6.1	41.594	6.3408E-08
6.2	41.694	6.3127E-08
6.3	41.794	6.32553333333333E-08
6.4	41.894	6.35063333333333E-08
6.5	41.994	6.4075E-08
6.6	42.094	6.45393333333333E-08
6.7	42.194	6.46543333333333E-08
6.8	42.294	6.4929E-08
6.9	42.394	6.50743333333333E-08
7.0	42.494	6.5203E-08
7.1	42.594	6.5461E-08
7.2	42.694	6.55863333333333E-08
7.3	42.794	6.5867E-08
7.4	42.894	6.5732E-08
7.5	42.994	6.5576E-08
7.6	43.094	6.59416666666667E-08
7.7	43.194	6.60536666666667E-08
7.8	43.294	6.68803333333333E-08
7.9	43.394	6.72596666666667E-08
8.0	43.494	6.7341E-08
8.1	43.594	6.76086666666667E-08
8.2	43.694	6.77643333333333E-08
8.3	43.794	6.8039E-08
8.4	43.894	6.83366666666667E-08
8.5	43.994	6.84316666666667E-08
8.6	44.094	6.86313333333333E-08
8.7	44.194	6.88146666666667E-08
8.8	44.294	6.85943333333333E-08
8.9	44.394	6.8608E-08
9.0	44.494	6.89503333333333E-08
9.1	44.594	6.9533E-08
9.2	44.694	6.99696666666667E-08
9.3	44.794	7.0315E-08
9.4	44.894	7.05863333333333E-08
9.5	44.994	7.08266666666667E-08
9.6	45.094	7.10233333333333E-08
9.7	45.194	7.12603333333333E-08
9.8	45.294	7.16126666666667E-08
9.9	45.394	7.18396666666667E-08
10.0	45.494	7.21916666666667E-08
10.1	45.594	7.21543333333333E-08
10.2	45.694	7.21683333333333E-08
10.3	45.794	7.22663333333333E-08
10.4	45.894	7.2551E-08
10.5	45.994	7.30253333333333E-08
10.6	46.094	7.36113333333333E-08
10.7	46.194	7.4055E-08
10.8	46.294	7.43973333333333E-08
10.9	46.394	7.4624E-08
11.0	46.494	7.4824E-08
11.1	46.594	7.51663333333333E-08
11.2	46.694	7.5471E-08
11.3	46.794	7.57486666666667E-08
11.4	46.894	7.6067E-08
11.5	46.994	7.63553333333333E-08
11.6	47.094	7.64093333333333E-08
11.7	47.194	7.61486666666667E-08
11.8	47.294	7.64533333333333E-08
11.9	47.394	7.68296666666667E-08
12.0	47.494	7.75E-08
12.1	47.594	7.81033333333333E-08
12.2	47.694	7.85403333333333E-08
12.3	47.794	7.8842E-08
12.4	47.894	7.89806666666667E-08
12.5	47.994	7.92413333333333E-08
12.6	48.094	7.957E-08
12.7	48.194	7.9949E-08
12.8	48.294	8.01563333333333E-08
12.9	48.394	8.05323333333333E-08
13.0	48.494	8.0854E-08
13.1	48.594	8.09756666666667E-08
13.2	48.694	8.09926666666667E-08
13.3	48.794	8.09626666666667E-08
13.4	48.894	8.14163333333333E-08
13.5	48.994	8.17483333333333E-08
13.6	49.094	8.25003333333333E-08
13.7	49.194	8.3205E-08
13.8	49.294	8.37163333333333E-08
13.9	49.394	8.3913E-08
14.0	49.494	8.4299E-08
14.1	49.594	8.458E-08
14.2	49.694	8.4909E-08
14.3	49.794	8.53796666666667E-08
14.4	49.894	8.57253333333333E-08
14.5	49.994	8.60026666666667E-08
14.6	50.094	8.6372E-08
14.7	50.194	8.6667E-08
14.8	50.294	8.66736666666667E-08
14.9	50.394	8.6552E-08
15.0	50.494	8.69243333333333E-08
15.1	50.594	8.7426E-08
15.2	50.694	8.81746666666667E-08
15.3	50.794	8.9045E-08
15.4	50.894	8.97463333333333E-08
15.5	50.994	9.0031E-08
15.6	51.094	9.04443333333333E-08
15.7	51.194	9.0661E-08
15.8	51.294	9.1139E-08
15.9	51.394	9.15923333333333E-08
16.0	51.494	9.19786666666667E-08
16.1	51.594	9.2331E-08
16.2	51.694	9.2683E-08
16.3	51.794	9.30933333333333E-08
16.4	51.894	9.3188E-08
16.5	51.994	9.3456E-08
16.6	52.094	9.32966666666667E-08
16.7	52.194	9.3693E-08
16.8	52.294	9.42076666666667E-08
16.9	52.394	9.4882E-08
17.0	52.494	9.58606666666667E-08
17.1	52.594	9.64603333333333E-08
17.2	52.694	9.71006666666667E-08
17.3	52.794	9.73513333333333E-08
17.4	52.894	9.77206666666667E-08
17.5	52.994	9.82083333333333E-08
17.6	53.094	9.86556666666667E-08
17.7	53.194	9.91603333333333E-08
17.8	53.294	9.97363333333333E-08
17.9	53.394	1.0002E-07
18.0	53.494	1.0047E-07
18.1	53.594	1.0073E-07
18.2	53.694	1.009E-07
18.3	53.794	1.0075E-07
18.4	53.894	1.0081E-07
18.5	53.994	1.01346666666667E-07
18.6	54.094	1.0184E-07
18.7	54.194	1.02633333333333E-07
18.8	54.294	1.03543333333333E-07
18.9	54.394	1.04456666666667E-07
19.0	54.494	1.05256666666667E-07
19.1	54.594	1.05306666666667E-07
19.2	54.694	1.0582E-07
19.3	54.794	1.06183333333333E-07
19.4	54.894	1.06723333333333E-07
19.5	54.994	1.07593333333333E-07
19.6	55.094	1.08193333333333E-07
19.7	55.194	1.08466666666667E-07
19.8	55.294	1.08966666666667E-07
19.9	55.394	1.09306666666667E-07
20.0	55.494	1.0958E-07
20.1	55.594	1.1058E-07
20.2	55.694	1.1009E-07
20.3	55.794	1.10246666666667E-07
20.4	55.894	1.1106E-07
20.5	55.994	1.118E-07
20.6	56.094	1.12703333333333E-07
20.7	56.194	1.1468E-07
20.8	56.294	1.14713333333333E-07
20.9	56.394	1.15616666666667E-07
21.0	56.494	1.1566E-07
21.1	56.594	1.1673E-07
21.2	56.694	1.17626666666667E-07
21.3	56.794	1.18016666666667E-07
21.4	56.894	1.19323333333333E-07
21.5	56.994	1.19833333333333E-07
21.6	57.094	1.201E-07
21.7	57.194	1.22366666666667E-07
21.8	57.294	1.22736666666667E-07
21.9	57.394	1.22933333333333E-07
22.0	57.494	1.24336666666667E-07
22.1	57.594	1.2433E-07
22.2	57.694	1.2569E-07
22.3	57.794	1.25353333333333E-07
22.4	57.894	1.26163333333333E-07
22.5	57.994	1.27083333333333E-07
22.6	58.094	1.2856E-07
22.7	58.194	1.29466666666667E-07
22.8	58.294	1.31223333333333E-07
22.9	58.394	1.32926666666667E-07
23.0	58.494	1.34196666666667E-07
23.1	58.594	1.34996666666667E-07
23.2	58.694	1.35526666666667E-07
23.3	58.794	1.39896666666667E-07
23.4	58.894	1.38166666666667E-07
23.5	58.994	1.41316666666667E-07
23.6	59.094	1.42773333333333E-07
23.7	59.194	1.4198E-07
23.8	59.294	1.42943333333333E-07
23.9	59.394	1.46423333333333E-07
24.0	59.494	1.50206666666667E-07
24.1	59.594	1.4843E-07
24.2	59.694	1.54773333333333E-07
24.3	59.794	1.5057E-07
24.4	59.894	1.54516666666667E-07
24.5	59.994	1.55953333333333E-07
24.6	60.094	1.57116666666667E-07
24.7	60.194	1.603E-07
24.8	60.294	1.61326666666667E-07
24.9	60.394	1.6355E-07
25.0	60.494	1.672E-07
25.1	60.594	1.72116666666667E-07
25.2	60.694	1.73956666666667E-07
25.3	60.794	1.7487E-07
25.4	60.894	1.78296666666667E-07
25.5	60.994	1.79863333333333E-07
25.6	61.094	1.85876666666667E-07
25.7	61.194	1.8565E-07
25.8	61.294	1.9159E-07
25.9	61.394	1.95296666666667E-07
26.0	61.494	1.94933333333333E-07
26.1	61.594	1.9756E-07
26.2	61.694	1.99783333333333E-07
26.3	61.794	2.02406666666667E-07
26.4	61.894	2.08223333333333E-07
26.5	61.994	2.11283333333333E-07
26.6	62.094	2.14923333333333E-07
26.7	62.194	2.19983333333333E-07
26.8	62.294	2.26483333333333E-07
26.9	62.394	2.31523333333333E-07
27.0	62.494	2.31146666666667E-07
27.1	62.594	2.37366666666667E-07
27.2	62.694	2.3892E-07
27.3	62.794	2.51133333333333E-07
27.4	62.894	2.59333333333333E-07
27.5	62.994	2.605E-07
27.6	63.094	2.66546666666667E-07
27.7	63.194	2.71723333333333E-07
27.8	63.294	2.73186666666667E-07
27.9	63.394	2.821E-07
28.0	63.494	2.88536666666667E-07
28.1	63.594	2.97883333333333E-07
28.2	63.694	3.02396666666667E-07
28.3	63.794	3.04453333333333E-07
28.4	63.894	3.20706666666667E-07
28.5	63.994	3.91666666666667E-07
28.6	64.094	3.97693333333333E-07
28.7	64.194	4.07416666666667E-07
28.8	64.294	4.38143333333333E-07
28.9	64.394	4.2876E-07
29.0	64.494	4.21476666666667E-07
29.1	64.594	4.57653333333333E-07
29.2	64.694	4.51456666666667E-07
29.3	64.794	4.5549E-07
29.4	64.894	4.60736666666667E-07
29.5	64.994	4.644E-07
29.6	65.094	4.86143333333333E-07
29.7	65.194	5.08773333333333E-07
29.8	65.294	5.2778E-07
29.9	65.394	5.12603333333333E-07
30.0	65.494	5.25306666666667E-07
30.1	65.594	5.47663333333333E-07
30.2	65.694	5.63923333333333E-07
30.3	65.794	6.0315E-07
30.4	65.894	6.1782E-07
30.5	65.994	6.06673333333333E-07
30.6	66.094	6.35333333333333E-07
30.7	66.194	6.48783333333333E-07
30.8	66.294	6.8503E-07
30.9	66.394	6.86723333333333E-07
31.0	66.494	6.97833333333333E-07
31.1	66.594	6.9177E-07
31.2	66.694	7.1606E-07
31.3	66.794	7.74966666666667E-07
31.4	66.894	7.68296666666667E-07
31.5	66.994	8.07623333333333E-07
31.6	67.094	8.44716666666667E-07
31.7	67.194	8.0339E-07
31.8	67.294	7.90483333333333E-07
31.9	67.394	8.2314E-07
32.0	67.494	8.56776666666667E-07
32.1	67.594	9.17926666666667E-07
32.2	67.694	9.41093333333333E-07
32.3	67.794	9.4604E-07
32.4	67.894	9.50176666666667E-07
32.5	67.994	9.9839E-07
32.6	68.094	1.02166666666667E-06
32.7	68.194	1.0295E-06
32.8	68.294	1.08663333333333E-06
32.9	68.394	1.0336E-06
33.0	68.494	1.12906666666667E-06
33.1	68.594	1.12336666666667E-06
33.2	68.694	1.1945E-06
33.3	68.794	1.1904E-06
33.4	68.894	1.1922E-06
33.5	68.994	1.25823333333333E-06
33.6	69.094	1.3203E-06
33.7	69.194	1.32216666666667E-06
33.8	69.294	1.39933333333333E-06
33.9	69.394	1.49186666666667E-06
34.0	69.494	1.49436666666667E-06
34.1	69.594	1.48436666666667E-06
34.2	69.694	1.565E-06
34.3	69.794	1.47486666666667E-06
34.4	69.894	1.53813333333333E-06
34.5	69.994	1.5758E-06
34.6	70.094	1.68076666666667E-06
34.7	70.194	1.71673333333333E-06
34.8	70.294	1.77496666666667E-06
34.9	70.394	1.7396E-06
35.0	70.494	1.81776666666667E-06
35.1	70.594	1.83213333333333E-06
35.2	70.694	1.90323333333333E-06
35.3	70.794	1.98473333333333E-06
35.4	70.894	1.93213333333333E-06
35.5	70.994	2.04756666666667E-06
35.6	71.094	2.03943333333333E-06
35.7	71.194	2.0592E-06
35.8	71.294	2.0919E-06
35.9	71.394	2.18003333333333E-06
