Home offset is 0
theta0 (Initial angle from Home) is (deg) 35.494
angle from Home(deg)	angle from theta0(deg)	photocurrent
0	35.494	5.35603333333333E-08
0.1	35.594	5.36113333333333E-08
0.2	35.694	5.3757E-08
0.3	35.794	5.37733333333333E-08
0.4	35.894	5.4187E-08
0.5	35.994	5.42853333333333E-08
0.6	36.094	5.4604E-08
0.7	36.194	5.4634E-08
0.8	36.294	5.47493333333333E-08
0.9	36.394	5.4905E-08
1.0	36.494	5.50443333333333E-08
1.1	36.594	5.52066666666667E-08
1.2	36.694	5.54436666666667E-08
1.3	36.794	5.54133333333333E-08
1.4	36.894	5.564E-08
1.5	36.994	5.5857E-08
