Home offset is 0
theta0 (Initial angle from Home) is (deg) 35.494
angle from Home(deg)	angle from theta0(deg)	photocurrent
0	35.494	8.18633333333333E-05
0.1	35.594	8.2165E-05
0.2	35.694	8.24426666666667E-05
0.3	35.794	8.27036666666667E-05
0.4	35.894	8.29506666666667E-05
0.5	35.994	8.32016666666667E-05
0.6	36.094	8.3459E-05
0.7	36.194	8.374E-05
0.8	36.294	8.4001E-05
0.9	36.394	8.42956666666667E-05
1.0	36.494	8.45126666666667E-05
1.1	36.594	8.47733333333333E-05
1.2	36.694	8.49833333333333E-05
1.3	36.794	8.52716666666667E-05
1.4	36.894	8.55153333333333E-05
1.5	36.994	8.57386666666667E-05
1.6	37.094	8.59926666666667E-05
1.7	37.194	8.62466666666667E-05
1.8	37.294	8.65043333333333E-05
1.9	37.394	8.6769E-05
2.0	37.494	8.70126666666667E-05
2.1	37.594	8.72736666666667E-05
2.2	37.694	8.75176666666667E-05
2.3	37.794	8.77646666666667E-05
2.4	37.894	8.80083333333333E-05
2.5	37.994	8.82626666666667E-05
2.6	38.094	8.85236666666667E-05
2.7	38.194	8.87366666666667E-05
2.8	38.294	8.9008E-05
2.9	38.394	8.9248E-05
3.0	38.494	8.95093333333333E-05
3.1	38.594	8.97596666666667E-05
3.2	38.694	9.0011E-05
3.3	38.794	9.02613333333333E-05
3.4	38.894	9.0519E-05
3.5	38.994	9.07863333333333E-05
3.6	39.094	9.1027E-05
3.7	39.194	9.13216666666667E-05
3.8	39.294	9.1596E-05
3.9	39.394	9.18633333333333E-05
4.0	39.494	9.21073333333333E-05
4.1	39.594	9.23513333333333E-05
4.2	39.694	9.26356666666667E-05
4.3	39.794	9.28833333333333E-05
4.4	39.894	9.31233333333333E-05
4.5	39.994	9.34016666666667E-05
4.6	40.094	9.3669E-05
4.7	40.194	9.39363333333333E-05
4.8	40.294	9.41636666666667E-05
4.9	40.394	9.4401E-05
5.0	40.494	9.4645E-05
5.1	40.594	9.48956666666667E-05
5.2	40.694	9.51696666666667E-05
5.3	40.794	9.54136666666667E-05
5.4	40.894	9.56676666666667E-05
5.5	40.994	9.58983333333333E-05
5.6	41.094	9.6135E-05
5.7	41.194	9.64063333333333E-05
5.8	41.294	9.664E-05
5.9	41.394	9.68876666666667E-05
6.0	41.494	9.71173333333333E-05
6.1	41.594	9.73923333333333E-05
6.2	41.694	9.7663E-05
6.3	41.794	9.79203333333333E-05
6.4	41.894	9.8134E-05
6.5	41.994	9.83916666666667E-05
6.6	42.094	9.86213333333333E-05
6.7	42.194	9.8852E-05
6.8	42.294	9.9076E-05
6.9	42.394	9.93333333333333E-05
7.0	42.494	9.9574E-05
7.1	42.594	9.98073333333333E-05
7.2	42.694	0.000100056666666667
7.3	42.794	0.000100296666666667
7.4	42.894	0.000100516666666667
7.5	42.994	0.000100776666666667
7.6	43.094	0.000100993333333333
7.7	43.194	0.000101246666666667
7.8	43.294	0.000101476666666667
7.9	43.394	0.00010171
8.0	43.494	0.000101966666666667
8.1	43.594	0.000102173333333333
8.2	43.694	0.000102403333333333
8.3	43.794	0.000102613333333333
8.4	43.894	0.000102856666666667
8.5	43.994	0.000103093333333333
8.6	44.094	0.000103336666666667
8.7	44.194	0.000103596666666667
8.8	44.294	0.000103816666666667
8.9	44.394	0.000104046666666667
9.0	44.494	0.000104276666666667
9.1	44.594	0.000104533333333333
9.2	44.694	0.000104763333333333
9.3	44.794	0.000105026666666667
9.4	44.894	0.00010527
9.5	44.994	0.000105466666666667
9.6	45.094	0.000105726666666667
9.7	45.194	0.000105963333333333
9.8	45.294	0.000106233333333333
9.9	45.394	0.00010652
10.0	45.494	0.000106743333333333
10.1	45.594	0.000107
10.2	45.694	0.000107233333333333
10.3	45.794	0.000107466666666667
10.4	45.894	0.00010771
10.5	45.994	0.00010796
10.6	46.094	0.000108203333333333
10.7	46.194	0.00010844
10.8	46.294	0.000108663333333333
10.9	46.394	0.000108923333333333
11.0	46.494	0.000109133333333333
11.1	46.594	0.000109416666666667
11.2	46.694	0.000109673333333333
11.3	46.794	0.00010991
11.4	46.894	0.000110133333333333
11.5	46.994	0.000110373333333333
11.6	47.094	0.000110613333333333
11.7	47.194	0.00011081
11.8	47.294	0.000111036666666667
11.9	47.394	0.00011126
12.0	47.494	0.000111486666666667
12.1	47.594	0.000111723333333333
12.2	47.694	0.000111966666666667
12.3	47.794	0.000112196666666667
12.4	47.894	0.000112406666666667
12.5	47.994	0.000112656666666667
12.6	48.094	0.0001129
12.7	48.194	0.000113136666666667
12.8	48.294	0.00011335
12.9	48.394	0.00011356
13.0	48.494	0.0001138
13.1	48.594	0.000113983333333333
13.2	48.694	0.00011422
13.3	48.794	0.000114396666666667
13.4	48.894	0.00011465
13.5	48.994	0.000114876666666667
13.6	49.094	0.000115076666666667
13.7	49.194	0.000115303333333333
13.8	49.294	0.000115516666666667
13.9	49.394	0.00011575
14.0	49.494	0.000115976666666667
14.1	49.594	0.000116223333333333
14.2	49.694	0.000116443333333333
14.3	49.794	0.000116666666666667
14.4	49.894	0.00011692
14.5	49.994	0.00011713
14.6	50.094	0.000117356666666667
14.7	50.194	0.00011757
14.8	50.294	0.000117766666666667
14.9	50.394	0.000118
15.0	50.494	0.000118236666666667
15.1	50.594	0.00011845
15.2	50.694	0.00011867
15.3	50.794	0.000118896666666667
15.4	50.894	0.000119126666666667
15.5	50.994	0.000119356666666667
15.6	51.094	0.000119583333333333
15.7	51.194	0.000119796666666667
15.8	51.294	0.000119993333333333
15.9	51.394	0.000120193333333333
16.0	51.494	0.000120403333333333
16.1	51.594	0.00012063
16.2	51.694	0.00012085
