Home offset is 0
theta0 (Initial angle from Home) is (deg) 34
angle from Home(deg)	angle from theta0(deg)	photocurrent
0	34	7.9401E-05
10	44	0.000104626666666667
20	54	0.00012667
30	64	0.000143586666666667
40	74	0.000153123333333333
50	84	0.000154483333333333
60	94	0.00014745
70	104	0.00013276
80	114	0.00011208
90	124	8.75276666666667E-05
100	134	6.18056666666667E-05
Home offset is 0
theta0 (Initial angle from Home) is (deg) 34
angle from Home(deg)	angle from theta0(deg)	photocurrent
0	34	8.01933333333333E-05
20	54	0.000127536666666667
40	74	0.000153906666666667
60	94	0.00014807
80	114	0.000112423333333333
100	134	6.1961E-05
0	34	8.01463333333333E-05
20	54	0.000127503333333333
40	74	0.00015387
60	94	0.00014797
80	114	0.000112206666666667
100	134	6.1748E-05
Home offset is 0
theta0 (Initial angle from Home) is (deg) 34
angle from Home(deg)	angle from theta0(deg)	photocurrent
0	34	7.94043333333333E-05
20	54	0.00012632
40	74	0.00015239
60	94	0.00014657
80	114	0.00011125
100	134	6.1169E-05
0	34	7.94886666666667E-05
20	54	0.00012651
40	74	0.000152686666666667
60	94	0.000146893333333333
80	114	0.00011151
100	134	6.13586666666667E-05
